<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.06	20:00:00	4655.274	4658.360	4648.982	4649.944	4436	0	280
2026.04.06	22:00:00	4661.087	4667.962	4656.853	4658.245	5428	0	280
2026.04.06	23:00:00	4658.452	4661.165	4651.622	4658.623	4227	0	280
2026.04.07	00:00:00	4658.976	4661.449	4648.955	4654.722	10138	0	280
2026.04.07	01:00:00	4654.699	4664.325	4616.331	4626.659	41910	0	280
2026.04.07	02:00:00	4626.729	4654.089	4619.655	4650.358	16990	0	280
2026.04.07	03:00:00	4650.411	4653.996	4639.456	4649.560	9888	0	280
2026.04.07	04:00:00	4649.496	4664.159	4645.436	4659.810	8445	0	280
2026.04.07	05:00:00	4659.688	4661.306	4622.758	4642.832	16980	0	280
2026.04.07	06:00:00	4643.220	4656.457	4637.737	4653.249	16387	0	280
2026.04.07	07:00:00	4653.176	4657.082	4636.555	4645.863	12762	0	280
2026.04.07	08:00:00	4646.180	4690.829	4644.153	4682.952	26733	0	280
2026.04.07	09:00:00	4682.930	4694.641	4658.733	4670.728	17587	0	280
2026.04.07	10:00:00	4670.786	4680.494	4649.144	4652.199	25258	0	280
2026.04.07	11:00:00	4652.129	4664.232	4628.585	4659.817	18527	0	280
2026.04.07	12:00:00	4659.883	4670.834	4646.720	4651.714	20637	0	280
2026.04.07	13:00:00	4651.478	4663.188	4635.468	4644.395	29839	0	280
2026.04.07	14:00:00	4644.101	4661.258	4607.334	4633.413	40839	0	280
2026.04.07	15:00:00	4633.347	4659.428	4624.763	4655.719	27967	0	280
2026.04.07	16:00:00	4655.388	4668.340	4652.441	4657.141	21436	0	280
2026.04.07	17:00:00	4657.203	4686.470	4653.753	4676.072	18542	0	280
2026.04.07	18:00:00	4675.997	4686.376	4657.357	4662.339	13931	0	280
2026.04.07	19:00:00	4662.400	4718.614	4660.662	4700.628	68400	0	280
2026.04.07	20:00:00	4700.691	4717.116	4697.173	4706.301	16519	0	280
2026.04.07	22:00:00	4740.729	4819.756	4713.782	4818.138	28989	0	360
2026.04.07	23:00:00	4818.422	4836.407	4801.707	4833.182	28458	0	280
2026.04.08	00:00:00	4833.247	4857.455	4808.641	4817.785	35533	0	280
2026.04.08	01:00:00	4817.974	4825.485	4787.975	4810.288	33586	0	280
2026.04.08	02:00:00	4810.208	4825.396	4798.539	4803.736	13626	0	280
2026.04.08	03:00:00	4803.795	4806.041	4794.818	4797.653	10491	0	280
2026.04.08	04:00:00	4797.672	4806.718	4790.236	4803.430	9437	0	280
2026.04.08	05:00:00	4803.370	4843.857	4800.196	4827.648	13440	0	280
2026.04.08	06:00:00	4827.239	4839.775	4819.950	4820.090	17415	0	280
2026.04.08	07:00:00	4820.031	4821.286	4805.307	4813.470	14799	0	280
2026.04.08	08:00:00	4813.538	4819.941	4790.158	4793.644	14257	0	280
2026.04.08	09:00:00	4794.002	4806.789	4776.201	4783.373	12956	0	280
2026.04.08	10:00:00	4783.314	4796.234	4770.988	4782.767	10696	0	280
2026.04.08	11:00:00	4782.682	4802.862	4777.826	4798.544	16082	0	280
2026.04.08	12:00:00	4798.727	4807.103	4768.354	4799.692	24692	0	280
2026.04.08	13:00:00	4799.506	4806.662	4767.160	4777.498	31614	0	280
2026.04.08	14:00:00	4777.853	4792.059	4732.255	4736.485	40317	0	280
2026.04.08	15:00:00	4736.255	4763.246	4734.171	4756.318	23253	0	280
2026.04.08	16:00:00	4756.630	4765.675	4745.421	4760.680	14191	0	280
2026.04.08	17:00:00	4760.612	4764.404	4731.543	4733.960	16837	0	280
