<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.02	08:00:00	4642.808	4648.922	4628.744	4641.042	6274	0	280
2026.04.02	08:15:00	4640.969	4645.014	4631.365	4634.148	4013	0	280
2026.04.02	08:30:00	4634.172	4643.898	4630.392	4630.440	4344	0	280
2026.04.02	08:45:00	4630.769	4634.507	4617.326	4620.665	4582	0	280
2026.04.02	09:00:00	4620.682	4625.480	4613.010	4623.928	3983	0	280
2026.04.02	09:15:00	4623.490	4631.988	4617.233	4621.064	3840	0	280
2026.04.02	09:30:00	4620.970	4625.531	4615.268	4621.602	3931	0	280
2026.04.02	09:45:00	4621.295	4628.454	4617.598	4621.887	3603	0	280
2026.04.02	10:00:00	4621.948	4635.320	4618.306	4625.233	4099	0	280
2026.04.02	10:15:00	4625.313	4626.983	4603.938	4618.673	4145	0	280
2026.04.02	10:30:00	4618.658	4631.531	4613.411	4624.631	4303	0	280
2026.04.02	10:45:00	4624.724	4629.462	4619.424	4620.645	3667	0	280
2026.04.02	11:00:00	4620.587	4630.013	4616.626	4627.388	4038	0	280
2026.04.02	11:15:00	4627.390	4630.716	4614.296	4614.982	3856	0	280
2026.04.02	11:30:00	4614.920	4617.661	4592.604	4600.146	5851	0	280
2026.04.02	11:45:00	4600.032	4611.891	4596.153	4599.881	5261	0	280
2026.04.02	12:00:00	4600.191	4612.695	4594.436	4612.362	7063	0	280
2026.04.02	12:15:00	4612.432	4630.244	4609.412	4626.502	6049	0	280
2026.04.02	12:30:00	4626.147	4626.479	4615.594	4618.145	4628	0	280
2026.04.02	12:45:00	4618.358	4626.570	4600.322	4601.740	7004	0	280
2026.04.02	13:00:00	4601.804	4614.237	4580.302	4587.540	16403	0	280
2026.04.02	13:15:00	4587.428	4600.277	4580.676	4597.454	11863	0	280
2026.04.02	13:30:00	4597.510	4607.787	4585.765	4601.814	20006	0	280
2026.04.02	13:45:00	4601.736	4651.474	4600.325	4645.933	15518	0	280
2026.04.02	14:00:00	4645.991	4659.641	4631.566	4647.714	15241	0	280
2026.04.02	14:15:00	4647.651	4675.963	4645.504	4665.085	12467	0	280
2026.04.02	14:30:00	4664.993	4699.733	4658.770	4693.210	30997	0	280
2026.04.02	14:45:00	4693.270	4693.707	4672.395	4681.513	18532	0	280
2026.04.02	15:00:00	4681.667	4684.055	4667.423	4672.113	14182	0	280
2026.04.02	15:15:00	4672.177	4682.004	4658.072	4672.246	10932	0	280
2026.04.02	15:30:00	4672.598	4676.151	4662.071	4665.853	9095	0	280
2026.04.02	15:45:00	4666.008	4666.857	4652.475	4660.862	7490	0	280
2026.04.02	16:00:00	4660.924	4668.355	4647.538	4654.724	6639	0	280
2026.04.02	16:15:00	4654.858	4656.964	4642.698	4650.898	6608	0	280
2026.04.02	16:30:00	4650.807	4670.233	4650.414	4658.580	7870	0	280
2026.04.02	16:45:00	4658.801	4670.500	4656.654	4659.051	5674	0	280
2026.04.02	17:00:00	4658.939	4668.446	4656.128	4663.844	5313	0	280
2026.04.02	17:15:00	4663.780	4665.690	4650.970	4652.054	5145	0	280
2026.04.02	17:30:00	4651.992	4657.954	4646.147	4657.519	5301	0	280
2026.04.02	17:45:00	4657.447	4658.751	4645.615	4648.800	4905	0	280
2026.04.02	18:00:00	4648.863	4658.913	4647.404	4653.385	3947	0	280
2026.04.02	18:15:00	4653.646	4656.623	4649.946	4651.464	3532	0	280
2026.04.02	18:30:00	4651.406	4663.365	4651.264	4662.414	3443	0	280
2026.04.02	18:45:00	4662.353	4672.135	4661.923	4668.620	3541	0	280
2026.04.02	19:00:00	4668.676	4681.802	4668.637	4674.528	3698	0	280
2026.04.02	19:15:00	4674.516	4677.845	4664.262	4665.374	5091	0	280
2026.04.02	19:30:00	4665.316	4668.264	4661.403	4666.024	3604	0	280
2026.04.02	19:45:00	4666.063	4676.554	4665.924	4672.105	4005	0	280
2026.04.02	20:00:00	4672.166	4676.912	4671.918	4673.725	1820	0	280
2026.04.02	20:15:00	4673.710	4674.495	4664.274	4667.904	2087	0	280
2026.04.02	20:30:00	4667.928	4673.400	4667.811	4669.065	1534	0	280
2026.04.02	20:45:00	4669.047	4676.927	4666.672	4675.333	2304	0	280
2026.04.05	22:00:00	4662.923	4662.923	4614.162	4630.000	6243	0	360
2026.04.05	22:15:00	4630.455	4642.078	4629.578	4636.391	3658	0	360
